CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
122 "08Q TM PEWTER GREY RW20WK(2)" 23.089952 18.199435 34.500649 23.500420 67.100023 0.199219 7.500000
123 "03T TM BLUE GREY RW20WK" 35.500114 28.499275 31.569390 11.999695 67.200732 -0.601563 1.199219
124 "2AQ TM BROWN RW20WK" 27.100023 67.100023 85.099565 88.999771 20.199893 8.500000 9.398438
125 "31V TM DARK GREEN RW20WK" 90.499733 5.000381 89.599451 71.500725 30.000763 -27.000000 10.398438
126 "3EM TM KELLY GREEN RW20WK" 80.000000 7.100023 86.599527 25.999847 49.300374 -36.398438 19.800781
127 "2DH TM MEDIUM OLIVE RW20WK" 29.300374 17.000076 70.499733 76.501106 41.100175 -3.101563 22.199219
128 "43V TM NAVY RW20WK" 100.000000 79.000534 21.499962 81.599145 17.199969 1.101563 -12.898438
129 "45W TM BLUSTERY RW20WK" 92.500191 0.000000 62.499428 17.999542 49.399557 -48.800781 0.699219
130 "49V TM ROYAL RW20WK" 95.600824 61.000992 15.700008 5.999847 40.799573 -8.601563 -34.800781
131 "4CV TM LIGHT BLUE RW20WK" 57.500572 22.000458 2.999924 6.999313 63.399710 -8.699219 -27.300781
132 "4ES TM AERO BLUE RW20WK" 92.501717 9.001297 20.999466 4.499886 55.300221 -37.898438 -27.699219
133 "44A TM TIDAL BLUE RW20WK" 85.099565 1.199359 34.599832 5.201801 60.799573 -38.300781 -16.000000
134 "52V TM PURPLE RW20WK" 88.000305 87.499809 0.000000 10.020600 33.200580 16.398438 -40.101563
135 "64V TM SCARLET RW20WK" 8.099489 96.000610 82.000458 24.100099 42.400244 55.300781 25.101563
136 "67Y TM DARK MAROON RW20WK" 45.500877 100.000000 72.500191 76.000610 19.800107 17.800781 2.601563
137 "69Y TM CARDINAL RW20WK" 16.499580 100.000000 65.500877 66.999313 24.699779 30.300781 8.000000
138 "6DR TM PINK FIRE II RW20WK" 22.999924 74.300755 0.000000 0.000000 56.000610 44.199219 -16.199219
139 "79S TM YELLOW STRIKE RW20WK" 0.000000 3.999390 84.100099 0.000000 93.299763 -2.199219 76.699219
140 "79X TM VEGAS GOLD RW20WK" 14.700542 20.000000 51.099413 2.000458 77.300679 3.800781 28.398438
141 "79Y TM BRIGHT GOLD RW20WK" 0.000000 36.000610 100.000000 2.000458 77.000076 20.000000 77.000000
142 "81F TM DESERT ORANGE RW20WK" 19.499504 75.500114 93.000687 37.000076 39.400320 27.500000 26.398438
143 "82U TM ORANGE RW20WK" 8.400092 88.599985 96.400397 0.000000 54.599832 58.800781 43.000000
144 "87F TM BRIGHT CERAMIC RW20WK" 0.000000 57.000076 100.000000 0.000000 68.099489 38.101563 61.398438
145 "69W TM CRIMSON RW20WK(2)" 9.500267 94.999619 79.000534 58.500038 29.399557 39.601563 22.898438
146 "10A WHITE NK728788" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
147 "00ABLACK NK728788" 90.499733 20.000000 37.000076 100.000000 12.100404 -8.199219 -3.500000
